time,loss,mse_loss,kld_loss,val_loss,val_mse_loss,val_kld_loss,lr
1.3741796016693115,3.7078675261001085e+34,3.7078675261001085e+34,437.98835146427155,0.0,0.0,0.0,1.0000e-04
1.2421042919158936,2.8340558969292695e+24,2.8340558969292695e+24,680.6216368675232,0.0,0.0,0.0,9.9999e-05
1.2209405899047852,9.404938739640228e+33,9.404938739640228e+33,931.2063674926758,0.0,0.0,0.0,9.9996e-05
1.2351346015930176,1.0011831002101312e+33,1.0011831002101312e+33,532.7714315205812,0.0,0.0,0.0,9.9991e-05
1.256157398223877,9.364452030073066e+33,9.364452030073066e+33,583.7933982014656,0.0,0.0,0.0,9.9984e-05
1.2291455268859863,6.652162587124491e+26,6.652162587124491e+26,987.1332454681396,0.0,0.0,0.0,9.9975e-05
1.2957499027252197,9.432644463826339e+33,9.432644463826339e+33,599.8596076965332,0.0,0.0,0.0,9.9964e-05
1.2279078960418701,6.592765494417579e+30,6.592765494417579e+30,441.20479106903076,0.0,0.0,0.0,9.9952e-05
1.2092065811157227,8.832985069154344e+30,8.832985069154344e+30,870.9871759414673,0.0,0.0,0.0,9.9937e-05
1.228788137435913,1.1905601766619983e+34,1.1905601766619983e+34,1427.733787536621,0.0,0.0,0.0,9.9920e-05
